smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C[C@@H](O)[C@@H]1OC[C@H](O)[C@@H]1O	ZINC000000896200	WZYRMLAWNVOIEX-VANKVMQKSA-N	162.141	-2.333	30	1	AAEF	in-vitro
OC[C@@H]1O[C@H](S)[C@H](O)[C@H](O)[C@H]1O	ZINC000001320114	JUSMHIGDXPKSID-HGVZOGFYSA-N	196.224	-2.284	30	1	AAEF	in-vitro,metabolite
CS(=O)(=O)O[C@H](CN)CON	ZINC000001547632	ZSNNANKILXFOFC-SCSAIBSYSA-N	184.217	-1.820	30	1	AAEF	
NNC(=O)[C@H](NC=O)C(N)=O	ZINC000001558594	OMZVURFWJYWVFN-UWTATZPHSA-N	160.133	-3.424	30	1	AAEF	
CN/N=C/c1cc(=O)n(C)c(=O)n1C	ZINC000001565761	PFCRXQVJWVHLQX-BJMVGYQFSA-N	196.210	-1.363	30	1	AAEF	
NNC(=O)c1cocc1C(=O)NN	ZINC000001603378	NDGYPSDHWVYRKD-UHFFFAOYSA-N	184.155	-1.513	30	1	AAEF	
C=CCNC(=O)C(=O)NNCCO	ZINC000001604526	XAEOVDITICHFBR-UHFFFAOYSA-N	187.199	-2.098	30	1	AAEF	
NNC(=O)c1cccnc1C(=O)NN	ZINC000001604587	HOIMEHRWLXXXOY-UHFFFAOYSA-N	195.182	-1.711	30	1	AAEF	biogenic,in-vitro
CN(C)/N=C/c1c[nH]c(=O)[nH]c1=O	ZINC000001604996	IXKALJDRUQCYNB-RUDMXATFSA-N	182.183	-1.041	30	1	AAEF	
CN(C)/N=C/c1c(O)[nH]c(=O)[nH]c1=O	ZINC000001605190	ZZOYEVHWMXSAJR-FPYGCLRLSA-N	198.182	-1.336	30	1	AAEF	
CC(C)C(O)(C(=O)NN)C(=O)NN	ZINC000001655782	CUQCEHDWKVHMTP-UHFFFAOYSA-N	190.203	-2.647	30	1	AAEF	
N[C@@H](CC(=O)N/C=N\O)C(=O)O	ZINC000001662467	JDDQIIGVOQKTBH-VKHMYHEASA-N	175.144	-1.678	30	1	AAEF	
NNC(=O)Cn1cnc2cncnc21	ZINC000001668300	OOOPVODKHFXNEK-UHFFFAOYSA-N	192.182	-1.184	30	1	AAEF	
CC(/C=C/NNC(=N)N)=N/NC(=N)N	ZINC000001688395	HEDGDGRUKPEUIH-MHSBMHLCSA-N	198.234	-1.653	30	1	AAEF	
CO[C@H]1O[C@H](C=O)[C@H](O)[C@H](O)[C@H]1O	ZINC000001717390	HQELTDCENJWLGH-PZRMXXKTSA-N	192.167	-2.361	30	1	AAEF	in-vitro
CO[C@H](CO)[C@@H](O)[C@H](O)C=O	ZINC000001735005	GWKBGDYJEHRKMX-PBXRRBTRSA-N	164.157	-2.086	30	1	AAEF	
Cc1cc(C(=O)NN)nn1CCO	ZINC000001764518	BTZGNYNYDJFMDN-UHFFFAOYSA-N	184.199	-1.213	30	1	AAEF	
N/N=C1/NCC(=O)NN1	ZINC000001895874	JVARQGQMKVTYCF-UHFFFAOYSA-N	129.123	-2.560	30	1	AAEF	
NNC(=O)[C@@H](NC=O)C(N)=O	ZINC000002030885	OMZVURFWJYWVFN-REOHCLBHSA-N	160.133	-3.424	30	1	AAEF	
O=C(O)[C@H](O)[C@@H](O)[C@@H](O)/C(O)=N/O	ZINC000002046851	DMGBHBFPSRKPBV-ZVHKOUPVSA-N	195.127	-2.501	30	1	AAEF	in-vitro,metabolite
N[C@@H](CC(O)(O)C=O)C(=O)O	ZINC000002046953	NKTBKFGHLWDKLW-VKHMYHEASA-N	163.129	-2.332	30	1	AAEF	
N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O	ZINC000003650100	BBWFIUXRDWUZMZ-MBMOQRBOSA-N	193.155	-3.320	30	1	AAEF	biogenic,in-vitro
C[C@]1([N+](=O)[O-])C(=O)NC(=O)N[C@@H]1O	ZINC000003652227	ZODBWYHSSOMJNZ-DUZGATOHSA-N	189.127	-1.820	30	1	AAEF	
C[C@@]1([N+](=O)[O-])C(=O)NC(=O)N[C@@H]1O	ZINC000003652229	ZODBWYHSSOMJNZ-MVHIGOERSA-N	189.127	-1.820	30	1	AAEF	
C[C@]1([N+](=O)[O-])C(=O)NC(=O)N[C@H]1O	ZINC000003652231	ZODBWYHSSOMJNZ-JLAZNSOCSA-N	189.127	-1.820	30	1	AAEF	
C[C@@]1([N+](=O)[O-])C(=O)NC(=O)N[C@H]1O	ZINC000003652232	ZODBWYHSSOMJNZ-VHUNDSFISA-N	189.127	-1.820	30	1	AAEF	
O[C@H]1[C@@H](O)[C@@H](S)[C@H](F)[C@@H](O)[C@@H]1O	ZINC000003799050	OASHOEVZQBWYLK-RTWKJESVSA-N	198.215	-1.920	30	1	AAEF	
NNC(=O)c1nnc(N)n(N)c1=O	ZINC000003959104	XGWAFOGYTGRKDU-UHFFFAOYSA-N	185.147	-3.462	30	1	AAEF	
O=C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	ZINC000004096061	LABWFKZNXLWHGQ-FPRJBGLDSA-N	178.140	-3.015	30	1	AAEF	in-vitro,metabolite
O=C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	ZINC000004096062	LABWFKZNXLWHGQ-PHYPRBDBSA-N	178.140	-3.015	30	1	AAEF	in-vitro,metabolite
O=C[C@@H](O)[C@H]1OC[C@@H](O)[C@H]1O	ZINC000004097167	WZYRMLAWNVOIEX-KVTDHHQDSA-N	162.141	-2.333	30	1	AAEF	in-vitro,metabolite
CN(C)NC(=O)[C@@H]1CN=C(N)NC1	ZINC000004423216	CXPDETNHNUZPAE-UHFFFAOYSA-N	185.231	-1.887	30	1	AAEF	
NNC(=O)CN(CC(=O)NN)N=O	ZINC000004428972	DECWURIPUMFHLD-UHFFFAOYSA-N	190.163	-3.050	30	1	AAEF	
OC[C@H]1O[C@H](O)[C@@H](Cl)[C@@H](O)[C@H]1O	ZINC000004475133	SNGNCYILSHZBLM-PHYPRBDBSA-N	198.602	-1.975	30	1	AAEF	in-vitro
OC[C@@H]1O[C@H](O)[C@@H](Cl)[C@@H](O)[C@H]1O	ZINC000004475134	SNGNCYILSHZBLM-XKTQNOIPSA-N	198.602	-1.975	30	1	AAEF	in-vitro
CO[C@@H](C=O)[C@@H](O)[C@H](O)CO	ZINC000004557143	ALNDFFUAQIVVPG-SRQIZXRXSA-N	164.157	-2.086	30	1	AAEF	
O=C(CS)NNC(=O)CS	ZINC000004773016	SJMLATCMQNTURW-UHFFFAOYSA-N	180.254	-1.007	30	1	AAEF	
CO[C@@H]1O[C@@H](CO)[C@@H](N)[C@H]1S	ZINC000004775608	KZUMKOKRIRHWNV-SLPGGIOYSA-N	179.241	-1.024	30	1	AAEF	
OC[C@@H](O)[C@@H](O)[C@H](O)/C=N/O	ZINC000004783297	OKDOWAAKOUUJPX-QQDPQJAGSA-N	165.145	-2.479	30	1	AAEF	
C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)/C=N/O	ZINC000004791920	QECAMBVYISPTOG-SODWRFDLSA-N	179.172	-2.090	30	1	AAEF	
C/C(CN)=N/NC(N)=O	ZINC000004801990	WOCATSRKZVWDLR-CLTKARDFSA-N	130.151	-1.011	30	1	AAEF	
CC1=NNC(=O)[C@H](C(=O)NN)C1	ZINC000004896217	NZYLJGFXWJPRCJ-BYPYZUCNSA-N	170.172	-1.512	30	1	AAEF	
CC(C)=NNC(=O)CNC(=O)C=[N+]=[N-]	ZINC000004900360	XJLOBVQRKNKHHI-UHFFFAOYSA-N	197.198	-1.085	30	1	AAEF	
NCCC(=O)N/C=N\O	ZINC000004946178	HNLIRKVXRSNIKR-UHFFFAOYSA-N	131.135	-1.131	30	1	AAEF	
N[C@H](CC(=O)N/C=N\O)C(=O)O	ZINC000004975138	JDDQIIGVOQKTBH-GSVOUGTGSA-N	175.144	-1.678	30	1	AAEF	
NC(=O)NS(=O)(=O)/N=C(/N)O	ZINC000005112653	NRCPVGIMMWPWGT-UHFFFAOYSA-N	182.161	-2.228	30	1	AAEF	in-vitro
N[C@H](C(=O)O)[C@H](CC=O)C(=O)NO	ZINC000005112849	MPBZRCYIZWWVPG-IMJSIDKUSA-N	190.155	-1.891	30	1	AAEF	in-vitro,metabolite
N[C@@H](C(=O)O)[C@H](CC=O)C(=O)NO	ZINC000005112851	MPBZRCYIZWWVPG-IUYQGCFVSA-N	190.155	-1.891	30	1	AAEF	in-vitro,metabolite
N[C@H](C(=O)O)[C@@H](CC=O)C(=O)NO	ZINC000005112856	MPBZRCYIZWWVPG-DMTCNVIQSA-N	190.155	-1.891	30	1	AAEF	in-vitro,metabolite
N[C@@H](C(=O)O)[C@@H](CC=O)C(=O)NO	ZINC000005112857	MPBZRCYIZWWVPG-QWWZWVQMSA-N	190.155	-1.891	30	1	AAEF	in-vitro,metabolite
O=C[C@H](F)[C@H](O)[C@H](O)CO	ZINC000005132037	NJYXSKVOTDPOAT-LMVFSUKVSA-N	152.121	-1.763	30	1	AAEF	
CC(=O)C(=O)NN	ZINC000005159335	VGLHMLZWDDLWLD-UHFFFAOYSA-N	102.093	-1.435	30	1	AAEF	
CO[C@H](CO)[C@H](O)[C@H](O)C=O	ZINC000005218108	GWKBGDYJEHRKMX-HSUXUTPPSA-N	164.157	-2.086	30	1	AAEF	
Nc1nonc1C(=O)N/N=C/C(=O)O	ZINC000005287045	JKWHKYHBGKWHNW-LREOWRDNSA-N	199.126	-1.548	30	1	AAEF	
N/N=C(\C=N/N)[C@H](O)CO	ZINC000005341113	NSKHLFYZAWGYLQ-PNMWLIINSA-N	146.150	-2.401	30	1	AAEF	
NNC(=O)[C@@H]1CCC(=O)O1	ZINC000005368716	USWZQRTYTBIFSJ-VKHMYHEASA-N	144.130	-1.318	30	1	AAEF	
NC(N)=NN=C(CO)CO	ZINC000005410041	FRYKSOZEONGBKW-UHFFFAOYSA-N	146.150	-2.400	30	1	AAEF	
O=C(NCCO[N+](=O)[O-])N[N+](=O)[O-]	ZINC000005410765	BFGCTTNIBFQFKS-UHFFFAOYSA-N	194.103	-1.314	30	1	AAEF	
COC(=O)/C(C)=N\N=C(N)N	ZINC000005412117	YAIVBGHUYZIGKS-BAQGIRSFSA-N	158.161	-1.191	30	1	AAEF	
CC(=O)NNC(=S)NNC(C)=O	ZINC000005431382	XYIZUAOHHQFKMO-UHFFFAOYSA-N	190.228	-1.447	30	1	AAEF	
CN/N=C\c1cc(=O)n(C)c(=O)n1C	ZINC000005432889	PFCRXQVJWVHLQX-YHYXMXQVSA-N	196.210	-1.363	30	1	AAEF	
O=C1C=C[C@H](O)[C@@]2(CO)O[C@@H]12	ZINC000005438474	GAGWCYWDAZARDD-LYFYHCNISA-N	156.137	-1.384	30	1	AAEF	
CC1=NNC(=O)[C@@H](C(=O)NN)C1	ZINC000005497771	NZYLJGFXWJPRCJ-SCSAIBSYSA-N	170.172	-1.512	30	1	AAEF	
NN/C(N)=N\C(N)=O	ZINC000005500620	KVPOANWCFUZXAC-UHFFFAOYSA-N	117.112	-2.157	30	1	AAEF	
NNC(=O)c1n[nH]nc1C(=O)NN	ZINC000005541504	YFGFXLNOZXMDSD-UHFFFAOYSA-N	185.147	-2.988	30	1	AAEF	
O=C1C(CO)=C[C@H](O)[C@@H]2O[C@H]12	ZINC000005566485	VTLJDPHPVHSVGR-JSKYLQRQSA-N	156.137	-1.384	30	1	AAEF	
O=C1C(CO)=C[C@H](O)[C@@]2(CO)O[C@@H]12	ZINC000005566487	WYPKXNNNLKQNEX-APQOSEDMSA-N	186.163	-2.021	30	1	AAEF	
NNC(=O)[C@H]1CCC(=O)O1	ZINC000005566651	USWZQRTYTBIFSJ-GSVOUGTGSA-N	144.130	-1.318	30	1	AAEF	
N/N=C(\N)C1=NOCC1	ZINC000005600164	ZNOOUMQKNJUIPQ-UHFFFAOYSA-N	128.135	-1.006	30	1	AAEF	
N#C/N=C(\N)NCCO	ZINC000005810851	IIXXKZSXDZZOBL-UHFFFAOYSA-N	128.135	-1.636	30	1	AAEF	
NC(N)=N/N=C/CO	ZINC000005828114	IXCPKVJBVRCJBY-LZCJLJQNSA-N	116.124	-1.762	30	1	AAEF	
N/N=C/NN=C(N)N	ZINC000005828163	SJNCOHQUPGWQQZ-UHFFFAOYSA-N	116.128	-2.334	30	1	AAEF	
O=C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000005828188	LABWFKZNXLWHGQ-DVKNGEFBSA-N	178.140	-3.015	30	1	AAEF	in-vitro
N/C(=N\[N+](=O)[O-])N(CCO)N=O	ZINC000005828749	SVDJZXICXGLJES-UHFFFAOYSA-N	177.120	-1.532	30	1	AAEF	
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1S	ZINC000005830021	KGSURTOFVLAWDC-QZABAPFNSA-N	196.224	-2.284	30	1	AAEF	
NC(N)=N/N=C/[C@H](O)CO	ZINC000005830112	ACSYALOQAPPWCK-COCXTYOSSA-N	146.150	-2.401	30	1	AAEF	
CO/[N+]([O-])=C/C(=O)N/C=C/C(N)=O	ZINC000005996671	WWUHEQGWFDDSQX-DSXPNFDZSA-N	187.155	-1.756	30	1	AAEF	
COS(=O)(=O)CS(C)(=O)=O	ZINC000005998107	NHTGFMDYCVWGFX-UHFFFAOYSA-N	188.226	-1.035	30	1	AAEF	
CS(=O)(=O)OC[C@H](O)[C@@H]1CO1	ZINC000006019502	RWHFAHDZGBOUSK-WHFBIAKZSA-N	182.197	-1.278	30	1	AAEF	
C[C@H](O)[C@@H](O)[C@@H](O)[C@H](F)C=O	ZINC000006030222	SQTFKIKSQNCWGJ-KCDKBNATSA-N	166.148	-1.374	30	1	AAEF	
C[C@@H](O)[C@@H](O)[C@H](N)[C@H](O)C=O	ZINC000006036993	DTSSDPFTHGBSDX-KVTDHHQDSA-N	163.173	-2.385	30	1	AAEF	in-vitro,metabolite
C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](N)C=O	ZINC000006036997	NTBYIQWZAVDRHA-JGWLITMVSA-N	163.173	-2.385	30	1	AAEF	
O=C[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O	ZINC000006157434	LKAPTZKZHMOIRE-KCDKBNATSA-N	162.141	-2.333	30	1	AAEF	biogenic,in-vitro
O=C[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O	ZINC000006157439	LKAPTZKZHMOIRE-AZGQCCRYSA-N	162.141	-2.333	30	1	AAEF	biogenic,in-vitro
CC(/C=N\NC(=N)N)=N/NC(=N)N	ZINC000006292972	MXWHMTNPTTVWDM-XVVXZDBVSA-N	184.207	-1.686	30	1	AAEF	in-man
N/C(=N/c1nn[nH]n1)N[N+](=O)[O-]	ZINC000006505185	RPHDHRACQNKBKF-UHFFFAOYSA-N	172.108	-2.073	30	1	AAEF	
O=C1NC(=O)[C@H]([n+]2ccccc2)C1=O	ZINC000006567688	BNCUJRIOPBJNPA-ZCFIWIBFSA-O	191.166	-1.259	30	1	AAEF	
O=C1NC(=O)[C@@H]([n+]2ccccc2)C1=O	ZINC000006567691	BNCUJRIOPBJNPA-LURJTMIESA-O	191.166	-1.259	30	1	AAEF	
NNC(=O)c1nccnc1C(=O)NN	ZINC000006584861	RFVTXCAFJYZICS-UHFFFAOYSA-N	196.170	-2.316	30	1	AAEF	
OC[C@@H]1O[C@H](O)[C@@H](Cl)[C@H](O)[C@@H]1O	ZINC000007996847	SNGNCYILSHZBLM-QYESYBIKSA-N	198.602	-1.975	30	1	AAEF	
O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O	ZINC000008580035	IAJILQKETJEXLJ-AIHAYLRMSA-N	194.139	-3.287	30	1	AAEF	endogenous,in-vitro
NC1=N[C@@H](S)[C@@H]2N=CNC2=N1	ZINC000008582045	QODVPPGFYGRVGU-FONMRSAGSA-N	169.213	-1.031	30	1	AAEF	
NC1=N[C@@H](S)[C@H]2N=CNC2=N1	ZINC000008582231	QODVPPGFYGRVGU-OKKQSCSOSA-N	169.213	-1.031	30	1	AAEF	
NC1=N[C@H](S)[C@H]2N=CNC2=N1	ZINC000008582232	QODVPPGFYGRVGU-ZAFYKAAXSA-N	169.213	-1.031	30	1	AAEF	
NC1=N[C@H](S)[C@@H]2N=CNC2=N1	ZINC000008582233	QODVPPGFYGRVGU-VVJJHMBFSA-N	169.213	-1.031	30	1	AAEF	
N[C@H](C=O)[C@H](O)[C@H](O)[C@H](O)CO	ZINC000008602489	FZHXIRIBWMQPQF-ARQDHWQXSA-N	179.172	-3.412	30	1	AAEF	
OC[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)/C=N\O	ZINC000008613041	FQDOAQMGAIINEJ-QZGIDXHRSA-N	195.171	-3.118	30	1	AAEF	
CO[C@H]1O[C@H](C=O)[C@@H](O)[C@H](O)[C@H]1O	ZINC000008664066	HQELTDCENJWLGH-ZFYZTMLRSA-N	192.167	-2.361	30	1	AAEF	in-vitro
Cn1c(C(=O)NN)cnc1[N+](=O)[O-]	ZINC000013207565	YTWAOLIIMCSSPF-UHFFFAOYSA-N	185.143	-1.068	30	1	AAEF	
NNC(=O)Cn1ccnc1[N+](=O)[O-]	ZINC000013211736	HKYQJLPUAUBOJC-UHFFFAOYSA-N	185.143	-1.219	30	1	AAEF	
O=C1C=C[C@@](O)(CCO)[C@@H](O)C1	ZINC000013327610	VTSLYCSFSJHBBV-JGVFFNPUSA-N	172.180	-1.010	30	1	AAEF	biogenic,in-vitro
O=C1C=C[C@@](O)(CCO)[C@H](O)C1	ZINC000013327612	VTSLYCSFSJHBBV-HTQZYQBOSA-N	172.180	-1.010	30	1	AAEF	biogenic,in-vitro
O=C1C=C[C@](O)(CCO)[C@@H](O)C1	ZINC000013327614	VTSLYCSFSJHBBV-YUMQZZPRSA-N	172.180	-1.010	30	1	AAEF	biogenic,in-vitro
O=C1C=C[C@](O)(CCO)[C@H](O)C1	ZINC000013327616	VTSLYCSFSJHBBV-SFYZADRCSA-N	172.180	-1.010	30	1	AAEF	biogenic,in-vitro
C[C@@H](O)[C@@]1(O)C=CC(=O)[C@H]1O	ZINC000013327655	NEVXRVUNMDEPDG-QXRNQMCJSA-N	158.153	-1.402	30	1	AAEF	
N[C@H]([C@H](O)C(=O)O)[C@H](O)[C@@H](O)C=O	ZINC000013349099	FRGAJHDZRIWMHI-KLVWXMOXSA-N	193.155	-3.320	30	1	AAEF	biogenic,in-vitro
N[C@H]([C@H](O)C(=O)O)[C@H](O)[C@H](O)C=O	ZINC000013349103	FRGAJHDZRIWMHI-LECHCGJUSA-N	193.155	-3.320	30	1	AAEF	biogenic,in-vitro
OC[C@@H]1OC/C(=N\O)[C@H](O)[C@@H]1O	ZINC000013360275	VUBMHXAPHDBSCC-QNVMOQICSA-N	177.156	-2.071	30	1	AAEF	biogenic,in-vitro
OC[C@@H]1OC/C(=N\O)[C@@H](O)[C@@H]1O	ZINC000013360278	VUBMHXAPHDBSCC-STSWXMNMSA-N	177.156	-2.071	30	1	AAEF	biogenic,in-vitro
OC[C@@H]1OC/C(=N\O)[C@H](O)[C@H]1O	ZINC000013360281	VUBMHXAPHDBSCC-GCIAZDNOSA-N	177.156	-2.071	30	1	AAEF	biogenic,in-vitro
OC[C@@H]1OC/C(=N\O)[C@@H](O)[C@H]1O	ZINC000013360284	VUBMHXAPHDBSCC-BTFPGYJTSA-N	177.156	-2.071	30	1	AAEF	biogenic,in-vitro
O=C1C(CO)=C[C@@H](O)[C@@H](O)[C@H]1Cl	ZINC000013385903	JUFBJBDOBZYSDT-JCGDXUMPSA-N	192.598	-1.183	30	1	AAEF	biogenic,in-vitro
O=C1C(CO)=C[C@@H](O)[C@H](O)[C@H]1Cl	ZINC000013385905	JUFBJBDOBZYSDT-ZDLURKLDSA-N	192.598	-1.183	30	1	AAEF	biogenic,in-vitro
OC[C@]1(O)[C@H](O)[C@H](O)C=C[C@@H]1Cl	ZINC000013386225	QGLYLHUBIXLGPY-XZBKPIIZSA-N	194.614	-1.391	30	1	AAEF	biogenic,in-vitro
OC[C@@]1(O)[C@H](Cl)C=C[C@@H](O)[C@H]1O	ZINC000013386226	QGLYLHUBIXLGPY-DBRKOABJSA-N	194.614	-1.391	30	1	AAEF	biogenic,in-vitro
OC[C@@]1(O)[C@H](O)[C@H](O)C=C[C@@H]1Cl	ZINC000013386227	QGLYLHUBIXLGPY-UCROKIRRSA-N	194.614	-1.391	30	1	AAEF	biogenic,in-vitro
OC[C@]1(O)[C@H](Cl)C=C[C@@H](O)[C@H]1O	ZINC000013386228	QGLYLHUBIXLGPY-GBNDHIKLSA-N	194.614	-1.391	30	1	AAEF	biogenic,in-vitro
CO[C@H]([C@H](O)C=O)[C@@H](O)[C@H](C)O	ZINC000013435241	MPQBLCRFUYGBHE-BNHYGAARSA-N	178.184	-1.697	30	1	AAEF	biogenic,in-vitro
CO[C@@H]([C@H](O)[C@H](C)O)[C@H](O)C=O	ZINC000013435242	MPQBLCRFUYGBHE-BDVNFPICSA-N	178.184	-1.697	30	1	AAEF	biogenic,in-vitro
CO[C@@H]([C@H](O)[C@@H](C)O)[C@H](O)C=O	ZINC000013435244	MPQBLCRFUYGBHE-DBRKOABJSA-N	178.184	-1.697	30	1	AAEF	biogenic,in-vitro
C[C@H](O)[C@H](O)[C@H](O)C/C=N\O	ZINC000013453487	BVVJNBJVDQCLFL-KSUPIHSPSA-N	163.173	-1.061	30	1	AAEF	biogenic,in-vitro
C[C@@H](O)[C@H](O)[C@H](O)C/C=N\O	ZINC000013453493	BVVJNBJVDQCLFL-RAJQEOITSA-N	163.173	-1.061	30	1	AAEF	biogenic,in-vitro
C[C@H](O)[C@@H](O)[C@H](O)C/C=N\O	ZINC000013453497	BVVJNBJVDQCLFL-BRTBWGQDSA-N	163.173	-1.061	30	1	AAEF	biogenic,in-vitro
C[C@@H](O)[C@@H](O)[C@H](O)C/C=N\O	ZINC000013453501	BVVJNBJVDQCLFL-XEMLKAEMSA-N	163.173	-1.061	30	1	AAEF	biogenic,in-vitro
CS(=O)(=O)O[C@@H](CN)CON	ZINC000013453742	ZSNNANKILXFOFC-BYPYZUCNSA-N	184.217	-1.820	30	1	AAEF	
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)/C=N/O	ZINC000013507638	FQDOAQMGAIINEJ-LJVFLWCUSA-N	195.171	-3.118	30	1	AAEF	in-vitro
C[C@H](O)[C@@H](O)C[C@H](O)C=O	ZINC000013508225	GNTQICZXQYZQNE-ZLUOBGJFSA-N	148.158	-1.322	30	1	AAEF	biogenic,in-vitro
N[C@@H](CC[C@@H](O)C=O)C(=O)O	ZINC000013512537	DAAGYSXTLYIDHZ-UHNVWZDZSA-N	161.157	-1.262	30	1	AAEF	in-vitro
N[C@@H](CC[C@H](O)C=O)C(=O)O	ZINC000013512544	DAAGYSXTLYIDHZ-WHFBIAKZSA-N	161.157	-1.262	30	1	AAEF	in-vitro
N[C@H](CC[C@H](O)C=O)C(=O)O	ZINC000013512548	DAAGYSXTLYIDHZ-CRCLSJGQSA-N	161.157	-1.262	30	1	AAEF	in-vitro
OC[C@H]1O[C@H](F)[C@H](O)[C@@H](S)[C@@H]1O	ZINC000013514610	CIVXZHHSLHCMIF-TVIMKVIFSA-N	198.215	-1.307	30	1	AAEF	in-vitro
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1Cl	ZINC000013514670	UDOJFSFHKNQOHC-FPRJBGLDSA-N	198.602	-1.975	30	1	AAEF	in-vitro
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1Cl	ZINC000013514671	UDOJFSFHKNQOHC-PHYPRBDBSA-N	198.602	-1.975	30	1	AAEF	in-vitro
C[C@@H](O)[C@@H](N)[C@H](O)[C@@H](O)C=O	ZINC000013524216	UEHGPSGGFKLPTD-JGWLITMVSA-N	163.173	-2.385	30	1	AAEF	in-vitro
CO[C@@H]1O[C@H](C=O)[C@H](O)[C@H](O)[C@H]1O	ZINC000013536712	HQELTDCENJWLGH-VOQCIKJUSA-N	192.167	-2.361	30	1	AAEF	in-vitro
N=C(N)N/N=C\C/C=N\NC(=N)N	ZINC000013537569	PYWCBNBYRHAQPT-XVVXZDBVSA-N	184.207	-1.686	30	1	AAEF	in-vitro
O=C[C@@H](F)[C@H](O)[C@H](O)CO	ZINC000013539308	NJYXSKVOTDPOAT-WDCZJNDASA-N	152.121	-1.763	30	1	AAEF	in-vitro
O=C[C@@H]1CC(=O)C(=O)N1	ZINC000013539563	JPKWTCVKNWAOAS-VKHMYHEASA-N	127.099	-1.357	30	1	AAEF	in-vitro
O=C[C@H](CO)NP(=O)(O)O	ZINC000013539930	VXZMPQMHTAFHIU-GSVOUGTGSA-N	169.073	-1.772	30	1	AAEF	in-vitro
OC[C@H]1O[C@@H](F)[C@H](O)[C@@H](S)[C@@H]1O	ZINC000013542328	CIVXZHHSLHCMIF-DGPNFKTASA-N	198.215	-1.307	30	1	AAEF	in-vitro
N[C@@H](C=[N+]([O-])O)C(=O)O	ZINC000013542425	BTHVCLZOXCBLQJ-REOHCLBHSA-N	134.091	-1.631	30	1	AAEF	in-vitro
O=C[C@H](O)CC(=O)C(=O)O	ZINC000013542639	QZKCWTOLHHFWCD-GSVOUGTGSA-N	146.098	-1.410	30	1	AAEF	in-vitro
CC(=O)N[C@H](C=O)CCC(N)=O	ZINC000013543407	VLBMVOPBPYZXBS-LURJTMIESA-N	172.184	-1.045	30	1	AAEF	in-vitro
O[C@@H]1CO[C@](O)(S)[C@H](O)[C@H]1O	ZINC000013544170	AHJNLRLNRDICFP-LECHCGJUSA-N	182.197	-2.325	30	1	AAEF	in-vitro
O[C@@H]1O[C@H](CS)[C@@H](O)[C@H]1O	ZINC000013544527	OYUGXNANEJEDEU-TXICZTDVSA-N	166.198	-1.645	30	1	AAEF	in-vitro
O[C@H]1[C@@H](O)O[C@H](CS)[C@H]1O	ZINC000013544529	OYUGXNANEJEDEU-AIHAYLRMSA-N	166.198	-1.645	30	1	AAEF	in-vitro
CO[C@@H]1O[C@H](C=O)[C@@H](O)[C@H](O)[C@H]1O	ZINC000013546123	HQELTDCENJWLGH-XUUWZHRGSA-N	192.167	-2.361	30	1	AAEF	in-vitro
O=CCC(=O)[C@H](O)[C@H](O)CO	ZINC000013546564	RXVDSZVTHMJWNV-RITPCOANSA-N	162.141	-2.141	30	1	AAEF	in-vitro
O=CC[C@@H](O)[C@@H](O)[C@H](O)C=O	ZINC000013546572	DRFVLWXFACEMHK-HSUXUTPPSA-N	162.141	-2.143	30	1	AAEF	in-vitro
O=CC(=O)[C@@H](O)[C@H](O)[C@H](S)CO	ZINC000013546653	KWOUEYNHGLUWSW-HSUXUTPPSA-N	194.208	-2.233	30	1	AAEF	in-vitro
O=C[C@H](O)[C@@H]1O[C@@H](O)[C@H](O)[C@@H]1O	ZINC000013548271	UZZNXCDPXDZIMX-MDMQIMBFSA-N	178.140	-3.015	30	1	AAEF	in-vitro
O=C[C@@H](O)[C@@H]1O[C@@H](O)[C@H](O)[C@@H]1O	ZINC000013548272	UZZNXCDPXDZIMX-FDROIEKHSA-N	178.140	-3.015	30	1	AAEF	in-vitro
O=C[C@H](O)[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O	ZINC000013548276	UZZNXCDPXDZIMX-HGVZOGFYSA-N	178.140	-3.015	30	1	AAEF	in-vitro
O=C[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@H]1O	ZINC000013548510	AEHQZSMIIWIZDK-PHYPRBDBSA-N	194.208	-2.077	30	1	AAEF	in-vitro
